i	ia
0	0
0.01	0
0.960	0
0.970	0.01
0.980	0.01
0.990	0.01
1	0.02
1.03	0.03
1.046	0.04
1.081	0.06
1.102	0.1
1.167	0.23
1.190	0.32
1.219	0.46
1.232	0.54
1.279	0.96
1.295	1.15
1.307	1.31
1.332	1.74
1.358	2.30
1.380	2.87
1.422	4.30
1.462	5.16
1.469	5.24
1.486	5.39
1.500	5.49
