u	i
0.5	0.08
6	1.22
10.8	3.11
15	5.07
20.7	6.37
25.8	6.6
29.9	6.67
35.1	6.73
44.9	6.82
60	6.93
70.7	6.99
84.5	7.06
95.4	7.12
100	7.14
110.3	7.21
120	7.23
