u	i
0.08	0.08
4.7	0.29
10	0.71
15	1.17
19.7	1.43
24.9	1.46
30	1.47
35.2	1.48
40	1.49
45.2	1.50
50.1	1.52
55	1.53
60	1.54
65.1	1.56
70.1	1.57
75.2	1.58
80.2	1.60
85.2	1.61
90.0	1.62
95.1	1.63
100.0	1.64
105.2	1.65
110.0	1.66
115.3	1.67
120.0	1.68
