u	i
0.02	1.08
5.1	2.95
10.2	5.60
15.0	8.04
20.0	8.84
25	8.98
30.1	9.06
35.1	9.13
40.2	9.19
45	9.24
50.1	9.28
54.8	9.32
60	9.36
65.3	9.39
69.9	9.43
74.9	9.47
79.9	9.50
85.1	9.54
90.3	9.57
95.4	9.60
100	9.62
105.2	9.66
110.2	9.68
115.1	9.71
120	9.73
