u	i
0.01	0.05
5.2	0.93
10.6	2.88
14.2	4.09
15	4.2
21.2	4.38
24.8	4.42
30.3	4.47
35.4	4.5
40.3	4.53
45.7	4.57
50.2	4.58
55.8	4.62
60	4.64
65	4.66
69.9	4.68
75.1	4.7
80.3	4.71
85.3	4.73
90.5	4.75
95.3	4.77
100	4.78
105.6	4.81
110.0	4.82
115	4.83
120.2	4.84
