i	ia
0	0
0.983	0.01
1.060	0.05
1.111	0.11
1.156	0.21
1.192	0.35
1.230	0.56
1.253	0.75
1.259	0.81
1.304	1.37
1.329	1.80
1.335	1.91
1.376	2.99
1.407	4.14
1.427	5.02
1.466	7.39
1.488	9.10
1.5	10.14
